Nome: PORTO VELHO
Codigo Estacao: A925
Latitude: -8.7936111
Longitude: -63.84583333
Altitude: 86.7
Situacao: Operante
Data Inicial: 2022-08-01
Data Final: 2023-05-09
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2022-09-28;9.2;27.4;null;1.3;
2022-09-29;5.6;27.7;null;1.5;
2022-09-30;0;25.1;null;1.7;
2022-10-01;.2;27.1;null;1.4;
2022-10-02;24.4;26.5;null;1.7;
2022-10-03;28;26.1;null;1.1;
2022-10-04;44.2;27;null;1.3;
2022-10-05;0;28.8;null;1.7;
2022-10-06;0;29.5;null;1.4;
2022-10-07;0;28.3;null;1.5;
2022-10-08;.2;26.9;null;1.8;
2022-10-09;0;27.1;null;1.1;
2022-10-10;.6;26.9;null;1.5;
2022-10-11;9.6;26.7;null;1.5;
2022-10-12;12.2;27.4;null;1.2;
2022-10-13;2.6;26.6;null;1.7;
2022-10-14;37;25.4;null;1.6;
2022-10-15;4;26.6;null;1.2;
2022-10-16;11;26.3;null;1.3;
2022-10-17;34.8;26.4;null;1;
2022-10-18;0;26.9;null;1.4;
2022-10-19;0;27.2;null;1;
2022-10-20;13.8;27.8;null;1.7;
2022-10-21;0;26.3;null;1.5;
2022-10-22;25.8;26.3;null;1.6;
2022-10-23;.2;27.3;null;1.4;
2022-10-24;0;28.3;null;1.4;
2022-10-25;2.8;26.1;null;1.5;
2022-10-26;3.6;27;null;1.7;
2022-10-27;0;27;null;1.5;
2022-10-28;0;24.7;null;1.1;
2022-10-29;14;26.9;null;1.7;
2022-10-30;0;28;null;2;
2022-10-31;0;28.4;null;1.4;
2022-11-01;1.4;19.4;null;2;
2022-11-02;29.4;21.7;null;1.8;
2022-11-03;0;24.5;null;1.9;
2022-11-04;0;24.2;null;1.1;
2022-11-05;0;24.3;null;.9;
2022-11-06;0;25.9;null;.9;
2022-11-07;0;27.7;null;1;
2022-11-08;0;28.2;null;1;
2022-11-09;0;29;null;1.4;
2022-11-10;0;29.5;null;2.2;
2022-11-11;0;26.5;null;1.8;
2022-11-12;.8;26.2;null;1.3;
2022-11-13;0;27.8;null;2.3;
2022-11-14;.6;28.1;null;1.7;
2022-11-15;0;26.1;null;1.8;
2022-11-16;35.6;26.1;null;1.1;
2022-11-17;5.4;27.3;null;1.2;
2022-11-18;9.2;27.1;null;1.4;
2022-11-19;6.6;27.9;null;1.5;
2022-11-20;0;29;null;1.7;
2022-11-21;0;26.4;null;1.4;
2022-11-22;28;25;null;1.7;
2022-11-23;null;null;null;1.4;
2022-11-24;0;26.9;null;.8;
2022-11-25;18.8;26;null;1.5;
2022-11-26;0;27.5;null;1.2;
2022-11-27;1.2;26;null;1.5;
2022-11-28;0;26.7;null;1.6;
2022-11-29;0;27.7;null;2;
2022-11-30;0;28.6;null;2.6;
2022-12-01;20.4;25.8;null;1;
2022-12-02;9.4;24.1;null;1.4;
2022-12-03;16.4;25.3;null;1.6;
2022-12-04;5;26.5;null;1.3;
2022-12-05;11.6;25.1;null;1.6;
2022-12-06;4.6;25.6;null;1.7;
2022-12-07;.2;27;null;1.3;
2022-12-08;0;26.2;null;1.1;
2022-12-09;6.2;26.5;null;1.6;
2022-12-10;0;27;null;1;
2022-12-11;.2;26.9;null;1.3;
2022-12-12;.2;26.9;null;1.2;
2022-12-13;0;25.6;null;1.3;
2022-12-14;.2;26.4;null;1.1;
2022-12-15;0;26.2;null;1.6;
2022-12-16;1;24.8;null;1;
2022-12-17;18;27.1;null;1.4;
2022-12-18;0;26.8;null;1.3;
2022-12-19;34.4;25.5;null;1;
2022-12-20;1.2;26.1;null;1.5;
2022-12-21;8.4;25.5;null;1.6;
2022-12-22;0;27.3;null;1.7;
2022-12-23;0;27.2;null;1.7;
2022-12-24;16.8;25.8;null;2.2;
2022-12-25;13;25;null;1.2;
2022-12-26;.6;25.6;null;1;
2022-12-27;0;27;null;1.4;
2022-12-28;0;27.2;null;2.6;
2022-12-29;0;26.4;null;1.6;
2022-12-30;48;24.3;null;1.5;
2022-12-31;2.4;25.9;null;.8;
2023-01-01;0;25.4;null;1.4;
2023-01-02;30;26.2;null;1.5;
2023-01-03;.2;26;null;1.9;
2023-01-04;null;null;null;null;
2023-01-05;null;null;null;null;
2023-01-06;null;null;null;null;
2023-01-07;null;null;null;null;
2023-01-08;null;null;null;null;
2023-01-09;null;null;null;null;
2023-01-10;null;null;null;null;
2023-01-11;null;null;null;null;
2023-01-12;null;null;null;null;
2023-01-13;null;null;null;null;
2023-01-14;null;null;null;null;
2023-01-15;null;null;null;null;
2023-01-16;null;null;null;null;
2023-01-17;null;null;null;null;
2023-01-18;null;null;null;null;
2023-01-19;null;null;null;null;
2023-01-20;null;null;null;null;
2023-01-21;null;null;null;null;
2023-01-22;null;null;null;null;
2023-01-23;null;null;null;null;
2023-01-24;null;null;null;null;
2023-01-25;null;null;null;null;
2023-01-26;null;null;null;null;
2023-01-27;null;null;null;null;
2023-01-28;null;null;null;null;
2023-01-29;null;null;null;null;
2023-01-30;null;null;null;null;
2023-01-31;null;null;null;null;
2023-02-01;null;null;null;null;
2023-02-02;null;null;null;null;
2023-02-03;null;null;null;null;
2023-02-04;null;null;null;null;
2023-02-05;null;null;null;null;
2023-02-06;null;null;null;null;
2023-02-07;null;null;null;null;
2023-02-08;null;null;null;null;
2023-02-09;null;null;null;null;
2023-02-10;null;null;null;null;
2023-02-11;null;null;null;null;
2023-02-12;null;null;null;null;
2023-02-13;null;null;null;null;
2023-02-14;null;null;null;null;
2023-02-15;null;null;null;null;
2023-02-16;null;null;null;null;
2023-02-17;null;null;null;null;
2023-02-18;null;null;null;null;
2023-02-19;null;null;null;null;
2023-02-20;null;null;null;null;
2023-02-21;null;null;null;null;
2023-02-22;null;null;null;null;
2023-02-23;null;null;null;null;
2023-02-24;null;null;null;null;
2023-02-25;null;null;null;null;
2023-02-26;null;null;null;null;
2023-02-27;null;null;null;null;
2023-02-28;null;null;null;null;
2023-03-01;null;null;null;null;
2023-03-02;null;null;null;null;
2023-03-03;null;null;null;null;
2023-03-04;null;null;null;null;
2023-03-05;null;null;null;null;
2023-03-06;null;null;null;null;
2023-03-07;null;null;null;null;
2023-03-08;null;null;null;null;
2023-03-09;null;null;null;null;
2023-03-10;null;null;null;null;
2023-03-11;null;null;null;null;
2023-03-12;null;null;null;null;
2023-03-13;null;null;null;null;
2023-03-14;null;null;null;null;
2023-03-15;null;null;null;null;
2023-03-16;null;null;null;null;
2023-03-17;null;null;null;null;
2023-03-18;null;null;null;null;
2023-03-19;null;null;null;null;
2023-03-20;null;null;null;null;
2023-03-21;null;null;null;null;
2023-03-22;null;null;null;null;
2023-03-23;null;null;null;null;
2023-03-24;null;null;null;null;
2023-03-25;null;null;null;null;
2023-03-26;null;null;null;null;
2023-03-27;null;null;null;null;
2023-03-28;null;null;null;null;
2023-03-29;0;27.1;null;.9;
2023-03-30;3.4;null;null;.9;
2023-03-31;null;26.6;null;1.4;
2023-04-01;2.2;26.8;null;1.1;
2023-04-02;null;null;null;null;
2023-04-03;null;null;null;null;
2023-04-04;null;null;null;null;
2023-04-05;null;null;null;null;
2023-04-06;null;null;null;null;
2023-04-07;null;null;null;null;
2023-04-08;null;null;null;.8;
2023-04-09;null;null;null;null;
2023-04-10;null;null;null;null;
2023-04-11;null;null;null;null;
2023-04-12;null;null;null;null;
2023-04-13;null;null;null;null;
2023-04-14;null;null;null;null;
2023-04-15;null;null;null;null;
2023-04-16;null;null;null;null;
2023-04-17;null;null;null;null;
2023-04-18;null;null;null;null;
2023-04-19;null;27.3;null;1.5;
2023-04-20;11.2;25.3;null;1.2;
2023-04-21;null;null;null;1.2;
2023-04-22;null;null;null;null;
2023-04-23;null;null;null;null;
2023-04-24;null;null;null;null;
2023-04-25;null;null;null;null;
2023-04-26;null;null;null;null;
2023-04-27;null;null;null;null;
2023-04-28;null;null;null;null;
2023-04-29;null;null;null;null;
2023-04-30;null;null;null;null;
2023-05-01;null;null;null;null;
2023-05-02;null;null;null;null;
2023-05-03;null;null;null;null;
2023-05-04;null;27.3;null;1.1;
2023-05-05;null;null;null;null;
2023-05-06;null;null;null;null;
2023-05-07;null;null;null;null;
2023-05-08;null;null;null;null;
2023-05-09;null;null;null;null;

